timestamp,ecg
0.1701697999960743,0
0.178198000008706,0
0.18639220000477508,-1
0.19460889999754727,-2
0.20296379999490455,-3
0.2106762999901548,-5
0.21899470000062138,-8
0.22701810003491119,-8
0.23546220001298934,-12
0.24341950000962242,-15
0.2514546000165865,-14
0.259764600021299,-21
0.2679439000203274,-19
0.2762230000225827,-17
0.28437280002981424,-41
0.29262870003003627,-24
0.30112860002554953,15
0.3089785000192933,-27
0.3172629000036977,-152
0.32541829999536276,-228
0.33362240000860766,-161
0.3415668000234291,-8
0.3495707000256516,88
0.35785010003019124,67
0.365972800005693,2
0.3744503000052646,-33
0.38239520002389327,-52
0.3903625999810174,-43
0.398663200030569,-10
0.4068373999907635,-18
0.41520059999311343,-57
0.4234269000007771,-76
0.43146599997999147,-69
0.43909840000560507,-61
0.447678700031247,-68
0.4558716000174172,-84
0.463444699998945,-84
0.47154320002300665,-80
0.4799915000330657,-76
0.4880970999947749,-78
0.49644010001793504,-79
0.5047829999821261,-79
0.5131008999887854,-79
0.5210486000287347,-69
0.5287793999887072,-69
0.537659400026314,-102
0.5462429000181146,-143
0.5541084000142291,-154
0.5621649000095204,-135
0.5706161999842152,-103
0.5786657999851741,-81
0.5868945000111125,-70
0.5950240999809466,-60
0.6036179999937303,-44
0.61146899999585,-30
0.6199380999896675,-34
0.6276842000079341,-58
0.6361017000162974,-67
0.6441662000142969,-68
0.6522018000250682,-70
0.6604746999801137,-78
0.6678274000296369,-98
0.6767798000364564,-113
0.685261900012847,-107
0.6931880000047386,-88
0.7014647999894805,-77
0.7102412999956869,-82
0.717025600024499,-92
0.7257243000203744,-99
0.7340702000074089,-91
0.7422406999976374,-91
0.7506937999860384,-84
0.7586746999877505,-61
0.7666714999941178,-41
0.7751437000115402,-40
0.7834566999808885,-45
0.7914927999954671,-46
0.7995785999810323,-53
0.8075798000209033,-65
0.8158349000150338,-66
0.8240368000115268,-46
0.8320548000046983,-26
0.8401185999973677,-32
0.8483366000000387,-54
0.8565107000176795,-61
0.8646908000227995,-51
0.8730253999819979,-36
0.8811048000352457,-35
0.890299100021366,-53
0.8975482999812812,-72
0.9056608999962918,-74
0.9138273000135086,-62
0.9223264000029303,-53
0.9301568000228144,-41
0.9383488000021316,-36
0.9461313000065275,-56
0.9548538000090048,-121
0.9629760999814607,-189
0.9711649999953806,-221
0.9793466000119224,-216
0.987443300022278,-195
0.9957394999801181,-158
1.0039438999956474,-94
1.0121512000332586,-46
1.0216612000367604,-42
1.0283577000373043,-48
1.0359325000317767,-22
1.044706100015901,4
1.05272600002354,0
1.0608980000251904,2
1.0691369000123814,-22
1.077318900031969,-52
1.0853063000249676,-5
1.0935953999869525,113
1.1011666000122204,216
1.1091904999921098,48
1.1176836999948137,-548
1.1261432000319473,-1140
1.134842200030107,-1093
1.1424284999957308,-413
1.1509174000239,252
1.1591346000204794,390
1.1673880000016652,129
1.1755461000138894,-67
1.1837584000313655,-17
1.1919305000337772,38
1.2000947000342421,-9
1.2083229999989271,-21
1.2165916000376455,-14
1.2245628000237048,-19
1.23226010001963,-27
1.240914000023622,-41
1.249098900007084,-36
1.2573458999977447,-19
1.265168400015682,-26
1.2730375999817625,-43
1.2819060999900103,-36
1.2900961000123061,-29
1.298312500002794,-52
1.3063605999923311,-95
1.3147802000166848,-130
1.3230034000007436,-127
1.3309367999900132,-108
1.33929839998018,-108
1.3475759000284597,-112
1.355614100000821,-108
1.363948700018227,-117
1.372340300003998,-128
1.380353600019589,-126
1.388760400004685,-114
1.396872400015127,-110
1.4044792000204325,-109
1.413265599985607,-121
1.4218100000289269,-130
1.4297777999890968,-132
1.4378926000208594,-135
1.4456592000206,-153
1.4542989000328816,-160
1.462593000032939,-143
1.470934099983424,-106
1.478897200024221,-83
1.4869879999896511,-76
1.494792099983897,-80
1.5033119000145234,-71
1.5116613000282086,-34
1.5197627000161447,-10
1.5272164000198245,-23
1.5357978999963962,-54
1.5440035000210628,-79
1.5522375000291504,-78
1.5605715999845415,-60
1.5687572000315413,-60
1.5769017999991775,-85
1.5848429999896325,-101
1.5933400000212714,-105
1.6016832999885082,-100
1.609707600029651,-91
1.6185767999850214,-88
1.6261468000011519,-95
1.634051000000909,-94
1.642314400000032,-91
1.6505991999874823,-87
1.6587467000354081,-76
1.6667744999867864,-57
1.675011600018479,-39
1.683142099995166,-40
1.6913077000062913,-52
1.6995732000214048,-53
1.707888200005982,-30
1.7159334000316449,-16
1.7255029000225477,-28
